Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Delay
OH,6683,DTW,DAY,2,1175,68,0
XE,3069,HRL,IAH,2,665,69,0
DL,1668,LAX,MSP,1,900,214,1
WN,3763,BWI,ALB,2,1080,70,1
9E,3891,DTW,ROC,7,630,80,0
AA,2097,DFW,SAT,4,635,65,0
AA,453,DFW,PDX,2,765,255,0
AA,1901,STL,DFW,2,575,115,
OO,7809,SLC,SUN,2,815,71,0
OH,6293,MSP,PIT,6,600,144,0
FL,607,MKE,DCA,6,1155,105,0
AS,22,SEA,ORD,1,765,245,0
OO,6530,SBA,LAX,5,577,48,0
CO,1678,SAT,IAH,2,1005,65,0
B6,571,HPN,PBI,4,1250,169,1
EV,5251,ATL,EYW,7,1135,117,1
UA,678,ORD,LGA,1,660,132,1
FL,852,MCO,ATL,4,1119,98,0
OO,6466,LAX,SLC,5,422,110,0
YV,7260,ORD,ATW,5,1224,49,1
OO,4673,GEG,SLC,1,986,99,1
EV,5061,SGF,ATL,5,907,109,0
CO,147,ORD,IAH,3,550,165,1
MQ,3754,ORD,AUS,4,510,165,1
US,1780,CLT,DCA,2,1331,71,0
B6,634,SFO,BOS,7,835,320,1
XE,2485,ORF,IAH,2,360,201,0
US,1800,CLT,BOS,1,585,134,0
DL,2461,PHL,ATL,7,765,140,1
AA,1841,DFW,TUS,2,565,145,0
OO,6996,DRO,DEN,3,1194,63,
OH,6589,CVG,DTW,1,460,87,0
AA,22,LAX,JFK,5,900,315,0
CO,693,MCO,EWR,7,580,154,1
DL,1578,ATL,IAD,6,910,112,1
WN,616,DEN,PHL,3,625,220,1
US,4,PHX,LAS,6,680,75,0
AA,1068,MIA,DCA,5,610,140,0
US,1151,PHL,RSW,6,475,186,0
UA,50,DFW,ORD,3,1044,136,0
MQ,3061,LAX,SAN,2,945,45,1
XE,5915,ORD,FAR,2,491,113,0
MQ,4417,DCA,RDU,1,1075,65,0
UA,488,ORD,CLT,1,1122,113,1
B6,1322,BWI,BOS,2,515,77,0
AS,11,EWR,SEA,1,450,375,0
B6,177,JFK,PHX,5,580,340,0
HA,546,HNL,OGG,4,1008,37,0
XE,5999,ORD,TUL,1,715,118,0
CO,212,IAH,SJU,5,615,247,1
US,29,CLT,ATL,5,560,79,0
WN,1502,STL,BWI,3,1125,115,1
WN,939,SAN,SJC,6,1105,80,1
US,541,DFW,LAS,2,450,178,0
WN,1163,SFO,SNA,2,410,85,0
XE,2320,IAH,ELP,3,1280,118,0
OH,6629,DTW,IAD,3,450,98,0
OO,6325,LAX,SAN,7,587,46,0
CO,158,IAH,DCA,3,885,170,0
WN,746,ISP,MDW,2,1010,160,0
MQ,3362,LBB,DFW,6,970,65,
DL,2602,MSY,ATL,7,900,92,1
WN,529,PHX,RDU,1,1095,235,1
F9,212,DEN,AUS,4,655,123,0
9E,3971,ATL,ICT,2,915,148,0
FL,203,ATL,CAK,4,1040,96,0
WN,1040,BDL,BWI,6,1050,75,1
YV,2689,CLT,SDF,1,1074,93,0
EV,5185,ATL,SAV,7,595,67,0
WN,848,LAX,TUS,3,940,75,1
AA,1532,LAS,DFW,2,1120,140,
MQ,4105,CLT,ORD,4,450,140,0
WN,703,DAL,TUL,1,385,60,1
UA,489,CVG,ORD,4,450,84,0
9E,3808,DTW,DAY,4,615,60,0
OO,6832,SBA,SFO,7,381,80,0
AA,1400,ORD,MCO,6,875,155,1
WN,187,SAN,LAS,7,710,70,0
AA,1330,DFW,MFE,3,795,95,0
DL,1295,ATL,MLB,5,890,93,0
CO,1408,CLT,EWR,5,1065,135,0
EV,5175,CLE,ATL,2,1030,130,0
WN,2807,OMA,DEN,5,440,100,
US,796,LAX,PHL,2,670,305,1
DL,2036,DTW,BWI,3,445,106,0
YV,2904,LIT,CLT,1,442,117,0
WN,780,STL,MCO,3,785,140,1
WN,1372,TPA,RDU,4,780,105,1
FL,104,DFW,ATL,2,652,125,1
CO,299,IAH,DEN,7,1255,152,
AA,1607,TUL,DFW,2,770,70,
EV,4984,GNV,ATL,2,375,80,0
OH,6574,JFK,CLE,4,1075,131,1
EV,5300,ATL,SAV,4,505,67,1
XE,2476,EWR,CVG,2,809,128,1
CO,540,RDU,EWR,2,1065,105,1
DL,1082,ATL,DTW,7,772,123,
9E,4026,ATL,IAH,6,645,151,0
EV,5046,ATL,AGS,1,615,62,0
MQ,3268,ACT,DFW,3,410,45,
OO,6404,EUG,SFO,5,650,90,0
AA,742,DFW,LGA,3,985,205,1
AA,269,JFK,SEA,1,1125,385,1
AA,1308,LAS,LAX,4,640,70,0
WN,155,SFO,SAN,5,1150,85,1
UA,15,JFK,SFO,1,870,403,1
YV,2640,CLT,STL,3,875,123,1
9E,4056,GRB,MSP,2,395,80,0
FL,819,BWI,BOS,3,630,79,0
WN,1382,BHM,BWI,5,920,115,1
EV,5597,ATL,MGM,7,618,70,0
OO,6277,LAX,SEA,5,965,164,1
OO,7760,SLC,EKO,7,820,69,1
DL,1886,ATL,LGA,4,640,136,1
WN,921,DEN,BOI,7,1280,130,1
AA,1433,BDL,MIA,3,380,205,0
WN,1657,LAS,SAN,5,980,65,0
F9,626,DTW,DEN,7,974,191,
HA,15,SAN,HNL,7,550,365,0
DL,2235,DTW,MSP,1,1045,120,0
OO,4627,HLN,SLC,4,785,77,0
EV,5004,ATL,OAJ,4,885,82,1
XE,3074,EWR,PVD,7,515,65,1
AS,224,PDX,SFO,1,480,117,0
WN,1113,LGA,MDW,5,795,155,0
MQ,4275,MSN,ORD,3,360,55,0
UA,901,SFO,SAN,1,1190,96,0
CO,1676,IAH,PHL,2,965,195,1
EV,7106,ROC,IAD,1,370,80,1
FL,1745,MCO,PIT,4,1028,132,0
UA,544,LAS,SFO,4,987,103,0
WN,3755,OAK,LAX,5,685,75,1
DL,2167,DTW,ORD,6,920,81,0
DL,2074,MCO,MSP,3,728,207,1
US,1277,IND,PHL,4,785,104,0
B6,419,BOS,PBI,3,865,193,1
XE,2335,MCI,IAH,5,835,125,1
FL,342,ATL,PHL,2,1048,111,0
B6,1085,JFK,CLT,2,990,131,0
MQ,3867,DTW,ORD,4,475,95,0
US,310,SFO,LAS,5,420,85,0
MQ,3668,TYS,MIA,1,875,125,0
DL,2066,MSP,MEM,1,935,128,1
UA,46,OGG,LAX,4,1310,313,0
WN,490,MDW,HOU,4,1025,170,1
XE,2318,IAH,ATL,1,1060,124,1
YV,7236,AUS,ORD,5,488,155,0
DL,1782,ELP,ATL,5,400,175,1
DL,2416,LAS,DTW,3,852,233,
FL,102,ATL,DFW,5,986,147,
B6,335,IAD,MCO,3,530,137,0
WN,1945,MDW,LGA,1,1100,130,1
WN,1639,HOU,DEN,7,385,155,
WN,2903,BWI,MDW,1,1035,135,1
DL,1079,SFO,LAX,6,410,83,0
FL,843,ATL,MCO,4,909,91,1
OO,7774,SLC,SGU,4,920,81,0
WN,588,BWI,MCO,1,720,140,1
9E,3736,COU,MEM,3,680,75,0
EV,5546,GSP,ATL,2,907,67,1
WN,1381,DAL,AUS,7,1065,55,1
YV,7267,IAD,IND,5,735,103,0
MQ,3629,MIA,BNA,4,420,145,0
WN,39,MAF,DAL,1,870,65,1
DL,1299,LAX,KOA,3,845,355,0
WN,341,DEN,BOI,6,490,125,0
AA,1896,DFW,SDF,7,1160,115,1
MQ,3727,ORD,LIT,7,1305,110,0
WN,310,PIT,MDW,3,810,95,1
DL,566,ATL,ORF,3,732,91,0
WN,1410,MAF,DAL,5,415,70,0
AA,1311,ATL,DFW,6,795,145,
WN,340,PHX,MCI,5,1050,150,1
9E,4287,CVG,DTW,5,460,87,0
MQ,2722,DSM,DFW,3,1085,125,
WN,1715,AUS,DAL,3,1195,55,1
WN,773,HOU,SAT,4,1230,55,1
WN,547,PVD,BWI,5,735,80,0
9E,4340,TPA,RDU,6,725,110,0
9E,3826,DTW,PWM,4,600,116,1
WN,753,MDW,SAN,3,900,275,1
MQ,3282,DFW,JAN,2,760,80,1
AA,1363,RDU,MIA,3,420,130,0
CO,1134,DFW,EWR,5,635,213,0
MQ,4197,BNA,ORD,3,750,95,1
UA,109,ORD,MSP,4,873,93,0
HA,362,HNL,ITO,4,1100,51,0
MQ,4298,ORD,MLI,6,590,55,0
WN,2038,DAL,STL,7,585,95,0
B6,1062,AUS,JFK,4,790,220,1
UA,316,SNA,DEN,2,480,152,
WN,3085,SJC,BUR,6,990,60,1
AA,1700,MIA,SJU,2,875,145,1
FL,421,PNS,ATL,1,1090,70,0
UA,720,SFO,DEN,6,865,152,
EV,5421,ATL,GNV,7,655,75,0
OO,6401,PSC,SFO,7,370,125,0
DL,2921,PIT,MSP,5,400,158,0
YV,2702,SBP,PHX,4,385,94,0
B6,691,BOS,DCA,1,1230,99,
DL,2016,DEN,ATL,5,960,173,1
DL,155,JFK,FLL,5,940,203,0
CO,1502,EWR,LAX,1,1115,384,0
UA,988,DEN,LAX,5,498,154,1
9E,4219,ROA,DTW,3,1030,100,1
WN,1288,SLC,SEA,5,820,130,1
FL,964,ATL,ACY,7,923,116,0
WN,460,MDW,PIT,1,840,75,1
MQ,4061,ORD,SGF,3,1080,100,1
9E,4139,BIS,MSP,4,1018,82,0
UA,930,SAN,SFO,1,985,100,1
WN,236,DAL,MSY,3,740,75,1
WN,48,BWI,MHT,7,1100,80,0
AA,543,ORD,PSP,6,600,265,0
YV,2681,CVG,CLT,5,420,86,0
WN,1250,JAX,BNA,6,930,95,0
OH,6555,MEM,BWI,3,815,124,1
EV,5096,BTR,ATL,3,784,94,1
OO,6492,MEM,DEN,4,885,169,
B6,18,FLL,JFK,4,616,158,1
AA,1067,CMH,DFW,7,1105,175,
EV,7081,DAY,IAD,3,873,86,1
B6,378,FLL,LGA,5,1091,169,1
OO,6854,SFO,ACV,2,562,78,0
CO,1559,DCA,IAH,3,420,209,0
WN,1107,LIT,STL,4,390,70,1
WN,425,HOU,SAT,3,695,55,0
MQ,3224,GSO,DFW,4,1025,195,
DL,1750,LAS,MSP,2,683,192,1
XE,2298,IND,EWR,1,1160,125,1
AS,195,ANC,FAI,1,1435,57,0
FL,1073,TPA,CAK,2,740,139,0
OO,6557,SEA,PDX,5,707,48,0
UA,871,MCI,DEN,5,379,119,
OO,7802,SLC,TWF,2,660,63,0
WN,1949,FLL,TPA,3,395,60,0
B6,270,BUR,LAS,2,975,65,0
FL,1181,MCO,BUF,1,761,153,0
OO,6442,LAX,OKC,3,771,162,0
FL,271,BOS,ATL,6,719,176,0
DL,1318,BDL,DTW,4,355,128,1
DL,2008,DEN,MSP,5,1065,118,0
B6,71,JFK,TPA,2,820,180,1
WN,282,SMF,PDX,4,880,90,1
OO,4836,MEM,DFW,5,815,102,
YV,1019,OGG,HNL,3,1135,32,0
WN,265,PIT,PHL,6,630,80,0
OO,6321,LAX,SAN,7,452,46,0
US,1266,ATL,PHL,4,770,126,0
WN,901,SNA,LAS,7,985,65,1
WN,914,TPA,HOU,4,705,150,0
WN,3039,SNA,PHX,7,1195,70,1
9E,3894,MSP,GRB,3,620,69,0
DL,1023,CLT,ATL,7,712,83,0
OO,4489,COS,SLC,4,385,95,1
XE,2980,TYS,CLE,3,1016,79,0
MQ,4336,ORD,EVV,2,535,65,1
AA,185,JFK,LAX,5,1260,380,1
FL,84,FLL,ATL,6,360,120,0
DL,2114,MSP,LGA,2,1150,163,1
FL,109,ATL,DFW,7,1345,142,
B6,98,DEN,JFK,4,59,213,1
HA,118,HNL,KOA,5,451,42,0
MQ,3319,DFW,GGG,6,600,45,0
YV,2905,PHX,GJT,3,790,122,1
OO,6296,DEN,ONT,5,573,142,1
DL,1490,MSP,DTW,4,395,114,0
XE,2845,PNS,IAH,3,1115,105,0
XE,2326,PVD,EWR,5,360,67,0
YV,7290,ORF,IAD,7,1179,63,0
B6,1058,PIT,JFK,6,625,79,0
MQ,3983,EVV,ORD,4,630,80,0
WN,59,AMA,DAL,3,1170,65,0
OO,6717,SFO,ACV,7,421,79,1
DL,2715,ATL,PHX,3,815,255,1
DL,1029,MSP,TPA,6,425,193,1
MQ,4594,RDU,LGA,4,760,100,1
WN,519,MCO,BNA,7,850,120,0
OO,7036,ORD,SPI,5,491,53,1
WN,857,STL,LAS,5,1130,230,1
DL,2339,ATL,RSW,6,900,105,0
MQ,3084,SAN,LAX,1,525,50,1
WN,856,ABQ,PHX,2,485,75,1
OO,6659,DEN,COS,3,1310,35,0
OO,6942,PDX,EUG,2,795,36,0
OO,6810,YUM,LAX,5,927,80,1
WN,2289,PHX,DEN,6,575,110,
US,2040,DCA,BOS,1,990,91,0
WN,380,HOU,TUL,7,1210,80,1
OH,6634,HSV,DTW,1,360,132,1
DL,1261,ATL,HOU,3,650,140,1
FL,1173,MCO,CLT,7,1029,95,0
AA,1689,PHL,MIA,3,685,170,0
B6,921,BOS,ORD,7,390,169,1
WN,684,PVD,PHX,2,770,365,1
OO,4837,BIS,MSP,6,895,86,1
OH,6344,MSP,OKC,1,1305,133,1
HA,26,HNL,PDX,7,940,325,0
MQ,4155,ORD,DTW,2,775,80,0
FL,262,DCA,MKE,2,719,120,1
DL,1751,MSP,LAS,1,540,213,1
US,373,JFK,CLT,6,1109,131,1
F9,498,CAK,DEN,5,1135,199,
WN,1092,MDW,STL,1,390,65,0
OO,6375,CMX,ORD,3,888,82,1
OO,4620,HLN,SLC,3,1040,77,1
XE,2775,EWR,AVL,6,540,130,0
CO,217,MSY,EWR,1,855,181,1
FL,607,SFO,MKE,6,732,253,1
MQ,4568,BNA,DCA,2,985,95,0
WN,1826,DEN,BWI,7,995,200,1
UA,628,ORD,DCA,5,1260,102,0
AA,1776,DFW,PHL,2,405,185,0
WN,1599,LAX,STL,2,560,205,1
EV,4962,ILM,ATL,4,826,96,1
AA,2299,DTW,MIA,5,360,190,0
WN,1124,LAS,OKC,4,655,140,1
YV,2840,YUM,PHX,4,525,74,0
DL,1320,ATL,CLT,5,1140,81,1
US,209,PHX,SAT,5,1185,125,0
XE,2665,DTW,EWR,1,1195,118,0
UA,761,ORD,SFO,6,485,290,0
CO,380,LAS,CLE,2,935,232,0
OH,6610,ORD,CVG,2,1040,80,1
CO,408,IAH,EWR,3,470,206,0
WN,538,HOU,DAL,6,720,55,0
DL,2762,PNS,ATL,3,960,75,1
AA,1154,PSP,DFW,3,410,170,
US,138,PHX,ANC,7,1080,360,1
EV,5582,CRW,ATL,5,685,90,0
WN,903,HOU,OKC,7,815,80,1
OO,4877,SLC,BZN,3,1290,73,0
YV,2667,CLT,SAT,6,595,201,0
OO,7026,LAX,FAT,6,823,67,0
AA,1304,TUL,DFW,4,1030,70,
MQ,3044,LAX,DEN,6,725,140,
DL,2916,AUS,MSP,5,1065,161,1
CO,1645,CLE,IAH,6,1065,190,1
US,1705,BDL,CLT,7,1150,134,0
UA,705,ORD,MCI,6,518,97,0
FL,892,LAX,MKE,5,710,240,0
DL,2811,MEM,FLL,3,560,139,1
AA,271,MIA,LAX,5,640,345,0
DL,1493,BDL,PBI,6,945,189,0
XE,2612,IAH,CVG,4,475,135,1
WN,1381,DAL,AUS,2,1065,55,1
AA,572,LAS,ORD,3,590,215,0
US,1633,PHL,MCO,4,420,149,0
WN,9,HOU,MSY,5,620,60,0
WN,249,TPA,LAS,7,785,310,0
AA,1937,BOS,SJU,7,515,240,0
OO,6977,MKE,ORD,6,1105,50,0
DL,1656,AUS,ATL,3,656,134,0
AA,1982,STL,ORD,3,1115,80,0
DL,2778,SAN,SLC,4,615,110,1
DL,2829,ATL,SEA,1,1145,336,1
DL,1254,ATL,ORF,1,580,108,0
DL,1801,PVD,ATL,3,1080,175,1
UA,494,DSM,ORD,5,360,80,0
OO,6535,BFL,SFO,4,999,76,0
OO,4742,RAP,MSP,1,940,92,0
WN,659,PHX,DEN,3,360,105,
EV,5593,ATL,MOB,3,895,80,0
US,1852,CLT,BWI,1,475,81,1
AA,1356,DFW,IAD,2,665,165,0
DL,2848,FLL,BDL,3,725,178,0
CO,1645,CLE,IAH,4,1070,190,1
AA,2413,DFW,LAX,5,565,200,0
AA,1120,ORD,STL,5,840,65,0
OH,6662,FWA,DTW,3,810,60,0
AS,694,SEA,GEG,7,1080,60,0
FL,1150,IND,RSW,2,420,156,0
9E,3798,DTW,ABE,1,630,92,0
OO,6483,ABQ,LAX,2,680,121,1
DL,2388,MEM,ATL,5,1110,85,1
MQ,3478,LIT,DFW,1,605,80,
YV,2652,ILM,CLT,4,770,66,0
DL,1790,SAT,ATL,4,797,131,1
DL,2015,IAD,ATL,4,970,124,1
EV,5092,ATL,FAY,4,1230,74,1
B6,327,BDL,FLL,2,886,192,1
XE,2026,STL,EWR,2,605,143,0
HA,370,OGG,KOA,4,819,32,1
MQ,4026,GRB,MQT,3,1195,40,1
DL,1941,CVG,PHX,4,585,259,1
AS,237,SAN,PDX,5,1115,165,0
WN,1633,TUS,MDW,4,545,200,1
F9,411,DEN,LAX,7,1090,147,1
UA,84,HNL,LAX,2,1288,326,0
MQ,3886,ORD,MSP,5,805,85,1
US,1925,BWI,CLT,5,830,89,0
9E,3891,MDW,DTW,3,420,89,0
WN,1636,DAL,OKC,3,455,50,1
US,1256,JAX,DCA,7,870,100,0
HA,44,HNL,SJC,3,840,305,0
UA,786,ORD,BWI,7,1016,110,0
WN,657,PDX,RNO,7,1075,75,1
AA,885,AUS,DFW,1,1110,70,
OO,6810,OTH,PDX,4,1204,54,1
MQ,4695,LGA,BOS,3,960,70,0
WN,2026,SLC,LAS,4,705,80,1
EV,5033,SYR,ATL,4,940,148,1
EV,5608,GNV,ATL,4,757,86,0
B6,1125,RDU,FLL,6,645,120,0
F9,724,DEN,DCA,5,705,193,1
UA,393,ORD,PHX,5,730,239,1
EV,5429,ATL,MLU,4,1238,97,0
EV,5410,ROA,ATL,4,932,93,1
9E,4091,MEM,DSM,4,1165,102,
MQ,3215,DFW,HOU,1,635,65,0
F9,787,DEN,LAS,5,1005,114,1
B6,1434,LGB,SFO,6,614,86,1
XE,2841,IAH,DAY,5,810,140,0
F9,426,DEN,ATL,3,1145,164,0
WN,852,PHX,BUR,7,1005,85,1
MQ,3703,ORD,ATL,4,1060,125,0
AS,151,OTZ,OME,5,516,45,1
AA,554,SFO,ORD,2,855,260,0
UA,19,JFK,SFO,5,1152,403,0
WN,3442,LAX,SJC,7,865,65,1
US,907,CLT,TPA,1,880,101,0
US,2170,DCA,LGA,2,720,70,1
MQ,4141,ORD,MCI,1,1045,100,1
UA,71,JFK,LAX,1,530,380,0
US,506,BOS,PHX,1,370,364,0
DL,1839,DCA,ATL,4,1140,122,1
B6,441,BOS,TPA,4,870,198,1
WN,301,SNA,SMF,4,600,85,0
EV,4967,BMI,ATL,3,1120,105,1
WN,1967,LAS,BOI,6,905,110,1
WN,348,SDF,STL,5,1140,70,1
FL,707,ATL,DAY,5,1335,95,0
FL,121,ATL,TPA,4,1069,90,0
WN,742,SAN,PHX,7,835,70,1
DL,2192,TPA,DTW,4,510,158,0
US,1715,DCA,FLL,5,885,154,1
OO,6369,BOI,DEN,5,596,108,
XE,3027,IAH,HRL,2,1100,65,0
DL,2594,ATL,PHL,5,960,127,1
AA,312,DFW,RSW,2,890,145,1
UA,590,ORD,BDL,5,790,128,1
US,1580,CLT,PIT,6,1329,75,0
MQ,4068,ORD,MSN,6,1270,50,1
US,1240,PHL,BDL,7,1235,59,0
UA,705,ORD,MCI,4,515,97,0
WN,961,ONT,OAK,1,625,75,1
US,1759,PHL,RDU,3,1230,85,0
MQ,3370,DFW,BTR,6,515,80,1
AA,1293,DAY,DFW,3,1115,165,
DL,2331,LGA,DTW,3,1079,125,0
AA,410,MIA,BNA,4,1305,135,0
MQ,3652,SDF,MIA,3,890,155,1
B6,401,BOS,MSY,3,672,229,0
UA,820,SFO,SEA,5,765,131,0
OO,6358,LAX,SBA,1,1124,40,1
UA,376,ORD,PHL,5,360,126,0
EV,5141,ATL,MYR,4,590,83,0
B6,424,PBI,BOS,3,1202,170,1
UA,729,IAD,TPA,5,1050,153,0
WN,2900,SJC,ONT,3,1235,70,0
DL,2738,ATL,DCA,5,500,102,0
AA,1218,PDX,DFW,4,510,225,
DL,2879,LGA,FLL,3,640,199,0
B6,1784,MCO,JFK,5,954,155,1
US,1516,BWI,PHL,6,470,55,1
WN,1118,MHT,BWI,1,675,95,1
WN,2392,MCI,LAX,5,475,235,1
DL,1808,DEN,MSP,4,1130,116,0
XE,2056,IAH,MCI,1,490,113,0
AA,393,DFW,DEN,5,405,125,
YV,2681,CLT,SRQ,3,564,107,0
OO,6229,RDD,SFO,7,828,79,0
UA,112,DEN,TPA,4,627,203,0
B6,498,SEA,BOS,7,1409,303,1
US,185,RNO,PHX,4,755,100,0
OO,6243,ORD,HPN,1,445,121,1
WN,1070,MDW,BUF,3,680,85,1
OH,6459,EWR,CVG,5,779,129,0
AA,1183,IAD,DFW,3,1175,205,
MQ,4330,ORD,CVG,2,800,75,0
MQ,3807,ORD,ATL,5,360,120,1
US,1060,CLT,DCA,2,1189,77,1
CO,211,EWR,IAH,5,465,245,1
MQ,3237,GSP,DFW,2,700,170,
WN,200,SJC,ONT,4,695,65,1
WN,1783,BWI,FLL,2,835,160,1
WN,686,DEN,MDW,5,680,140,1
WN,32,HOU,DAL,7,840,55,1
OO,4555,SLC,ONT,6,1220,114,1
B6,506,FLL,EWR,5,810,183,1
CO,1770,MCO,CLE,1,755,141,1
YV,7261,ROC,IAD,5,1185,72,0
CO,799,IAH,DEN,5,525,158,
FL,1270,DAY,MCO,6,500,146,0
9E,3674,MEM,MLI,2,1165,90,0
AA,1715,ORD,LAS,7,785,250,0
WN,1128,MHT,PHL,3,830,95,1
YV,7268,CHS,ORD,2,429,143,0
XE,2726,ATL,EWR,7,480,120,0
WN,1108,FLL,DEN,7,1075,280,
OO,6582,PSP,SFO,7,1021,91,0
OO,6229,SFO,AUS,1,965,203,1
OO,4588,SFO,SLC,3,1007,109,1
EV,7132,IAD,ROC,1,1323,73,1
DL,2556,MSP,EWR,7,780,175,0
AA,593,ORD,PHX,1,965,235,0
WN,2466,ONT,PHX,5,1135,70,1
AA,1121,DFW,SAN,1,1120,195,1
US,1569,PHL,BWI,5,1070,56,0
DL,2788,MKE,MSP,3,555,85,1
UA,204,SEA,SFO,7,942,126,0
AA,1901,STL,DFW,6,575,115,
CO,609,CLE,SFO,4,1255,337,1
DL,2287,DTW,ATL,7,1060,130,1
UA,650,BDL,IAD,6,360,91,0
CO,1712,SJU,IAH,5,1032,288,1
OH,6483,DTW,MDT,1,1040,81,1
UA,640,ORD,PHL,1,1260,119,1
9E,4200,TYS,CVG,3,355,64,0
XE,2057,CLE,SYR,7,925,77,1
US,486,RNO,PHX,5,365,107,1
AA,1898,ELP,DFW,3,720,100,
EV,7346,ATL,GSP,7,1070,60,1
AA,1532,LAS,DFW,5,1120,140,
WN,1738,SAN,SFO,6,1165,90,1
CO,1192,EWR,BOS,4,1200,69,1
AA,1598,SEA,DFW,4,830,230,
OO,4503,MSP,BIS,3,790,80,1
9E,4236,BOS,JFK,3,1060,122,0
XE,2550,IAH,CLT,5,855,136,0
AS,487,SAN,SEA,2,965,170,0
OH,6292,DCA,JFK,6,660,75,0
EV,5085,ATL,EWN,3,855,82,0
DL,1665,MSP,SLC,5,540,183,0
WN,1081,BWI,MCO,6,510,150,1
XE,2570,IAH,BTR,4,1175,61,0
WN,1856,MCI,MCO,7,630,165,0
XE,2380,IAH,AVL,6,775,121,0
WN,2716,MDW,IAD,7,410,105,1
FL,1244,FNT,MCO,4,428,174,0
B6,1244,CLT,BOS,1,1075,127,1
OO,4728,SLC,MFR,4,674,105,0
OO,6889,ORD,ELP,1,1079,194,1
EV,5267,ATL,TRI,4,1050,62,0
EV,7331,GSO,ATL,4,686,89,0
OO,4564,SNA,SLC,7,465,100,0
9E,3912,ICT,MEM,3,720,93,0
YV,2721,PHX,SBA,7,946,132,1
WN,1079,SAT,ELP,1,1120,95,1
WN,3040,RDU,BNA,6,950,95,1
MQ,4238,CMH,ORD,5,490,95,0
EV,4963,ATL,MOB,4,505,84,0
OO,6854,SFO,ACV,1,562,78,1
AA,475,EWR,ORD,7,445,175,0
CO,1177,BOS,EWR,5,935,98,0
F9,413,DEN,LAX,5,790,142,1
UA,62,LIH,SFO,1,866,325,0
OO,4454,SLC,AUS,3,590,168,1
FL,1207,MDW,RSW,2,440,168,0
DL,2787,FAR,MSP,1,425,77,0
AA,689,ORF,DFW,3,380,220,
WN,3597,MDW,MCO,2,1185,160,1
US,186,PHX,SAN,1,1075,70,0
9E,3835,LGA,SAV,4,540,165,0
MQ,2827,DFW,CHS,1,510,145,1
AA,1132,DFW,TPA,7,870,135,0
MQ,3039,LAX,FAT,3,550,60,0
9E,3769,RIC,JFK,5,1120,120,0
AS,105,SEA,ANC,5,1045,220,1
MQ,3479,DFW,LIT,5,505,70,1
XE,2606,IAH,MEM,1,445,93,0
B6,916,ORD,JFK,6,960,137,1
AA,1330,TUS,DFW,1,555,130,
DL,2370,LGA,PBI,5,1079,190,1
OH,6568,DTW,CRW,2,610,80,1
WN,1591,PHL,BOS,5,380,80,0
AA,1609,EWR,MIA,6,835,195,0
AA,2465,DFW,LAX,2,1070,205,1
WN,1968,BOS,MDW,4,1015,170,0
US,1465,PHL,ATL,2,580,143,0
US,458,SLC,PHX,4,1200,97,0
WN,164,OKC,DAL,5,740,50,1
F9,130,DEN,DFW,3,635,112,
DL,25,ATL,RDU,6,975,83,1
AA,1918,TPA,ORD,7,950,170,0
OO,4676,BNA,MSP,2,360,144,0
MQ,2869,DFW,CRP,2,1085,80,1
US,1972,CLT,EWR,3,914,107,0
WN,1149,PHX,MSP,2,680,190,1
WN,1072,ABQ,DAL,3,1045,95,1
AA,560,RNO,ORD,4,830,235,0
WN,1288,DEN,SLC,4,705,90,1
OO,6376,DEN,RAP,3,868,62,1
DL,2861,PHL,ATL,6,465,163,0
MQ,2934,LEX,DFW,3,745,150,
WN,619,RNO,LAS,1,880,70,1
DL,2811,MEM,FLL,2,560,139,0
DL,2600,MSP,BWI,1,1140,143,1
WN,860,MKE,PHX,4,840,235,1
OO,6363,LAX,SBA,3,1386,44,0
XE,2670,ORF,EWR,2,800,87,1
9E,3710,DTW,ELM,1,630,78,1
DL,2809,CVG,FLL,4,675,147,0
MQ,2821,DFW,SPS,6,610,50,0
OO,6843,TUL,ORD,7,1105,113,1
B6,336,MCO,IAD,5,465,120,1
WN,3075,PHX,ELP,4,1315,65,1
B6,166,PDX,JFK,5,1295,298,0
DL,2004,FLL,DTW,1,740,187,
XE,2388,COS,IAH,7,495,134,0
WN,2401,MCI,BWI,6,1030,140,1
US,1179,CLT,IAH,7,785,167,0
DL,2775,STL,DTW,2,1075,96,
MQ,3031,LAX,SAN,4,870,45,0
US,1981,DCA,TPA,5,605,146,1
CO,1618,EWR,TPA,7,890,177,1
AA,2167,LAX,DFW,1,610,180,
XE,5925,OKC,ORD,4,762,119,1
MQ,4579,LGA,CLT,3,945,125,0
WN,490,BNA,MSY,1,1025,95,1
OO,6738,DEN,MCI,5,524,96,0
OO,6837,DRO,DEN,4,588,62,
XE,2478,GSO,EWR,7,1163,97,0
WN,255,ONT,DEN,3,390,135,
US,578,PHX,TPA,2,595,238,0
9E,3717,ATL,OKC,6,834,141,0
OO,4724,LGB,SLC,4,1089,111,0
AA,1648,SNA,DFW,2,405,185,
US,1019,PIT,CLT,4,430,96,0
DL,2408,TPA,MSP,7,480,209,0
UA,291,IAD,SMF,6,1020,345,0
WN,59,DEN,AMA,5,1010,70,1
UA,332,SMF,ORD,5,797,243,0
WN,2064,MCO,BNA,7,900,120,1
DL,1,LAS,JFK,3,650,310,0
B6,699,JFK,SJU,3,360,218,0
WN,660,LAS,TUS,7,635,75,1
OH,6442,DTW,RIC,6,1180,104,0
