,letter,x-box,y-box,width,height,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
2949,ERRORABC123!?,3,5,5,3,ERRORABC123!?,6,ERRORABC123!?,6,6,7,6,9,3,8,3,8
2950,I,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,7,0,8,13,ERRORABC123!?,8,ERRORABC123!?,8,ERRORABC123!?,8
2951,U,3,6,3,4,ERRORABC123!?,ERRORABC123!?,5,13,ERRORABC123!?,7,13,8,ERRORABC123!?,9,0,ERRORABC123!?
2952,ERRORABC123!?,5,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,15,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,8
2953,M,ERRORABC123!?,3,5,4,4,8,6,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,8,9,ERRORABC123!?,3,ERRORABC123!?
2954,R,ERRORABC123!?,2,ERRORABC123!?,3,ERRORABC123!?,7,8,ERRORABC123!?,5,6,5,6,3,ERRORABC123!?,4,8
2955,C,1,3,ERRORABC123!?,1,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?,ERRORABC123!?,11,ERRORABC123!?,11,ERRORABC123!?,9,2,ERRORABC123!?
2956,C,4,9,5,ERRORABC123!?,4,ERRORABC123!?,8,7,6,9,ERRORABC123!?,ERRORABC123!?,2,10,ERRORABC123!?,ERRORABC123!?
2957,B,3,ERRORABC123!?,5,ERRORABC123!?,4,ERRORABC123!?,8,7,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,2,8,ERRORABC123!?,ERRORABC123!?
2958,O,7,9,9,8,6,5,7,6,ERRORABC123!?,9,7,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,5
2959,L,2,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,4,7,ERRORABC123!?,2,5,1,7,1,6
2960,ERRORABC123!?,2,1,4,ERRORABC123!?,2,7,7,ERRORABC123!?,5,7,6,ERRORABC123!?,3,ERRORABC123!?,4,ERRORABC123!?
2961,ERRORABC123!?,3,5,5,4,5,7,ERRORABC123!?,4,4,7,ERRORABC123!?,8,ERRORABC123!?,9,ERRORABC123!?,6
2962,P,6,7,8,9,8,ERRORABC123!?,9,2,3,ERRORABC123!?,ERRORABC123!?,6,6,10,ERRORABC123!?,ERRORABC123!?
2963,F,2,ERRORABC123!?,3,2,ERRORABC123!?,5,10,4,5,10,9,ERRORABC123!?,ERRORABC123!?,10,3,ERRORABC123!?
2964,ERRORABC123!?,4,ERRORABC123!?,5,6,3,7,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,6,8,ERRORABC123!?,ERRORABC123!?,9,8
2965,X,3,ERRORABC123!?,5,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,8
2966,ERRORABC123!?,ERRORABC123!?,9,6,7,4,5,11,4,ERRORABC123!?,ERRORABC123!?,10,5,ERRORABC123!?,10,3,ERRORABC123!?
2967,T,2,3,ERRORABC123!?,1,ERRORABC123!?,5,12,ERRORABC123!?,5,11,ERRORABC123!?,5,ERRORABC123!?,10,1,5
2968,O,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,8,7,6,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,9,ERRORABC123!?,9
2969,V,4,7,6,5,ERRORABC123!?,7,8,ERRORABC123!?,ERRORABC123!?,8,7,8,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
2970,X,2,2,3,3,2,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,6,6,ERRORABC123!?,2,8,ERRORABC123!?,ERRORABC123!?
2971,U,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,4,5,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?
2972,N,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,7,ERRORABC123!?,2,5,ERRORABC123!?,ERRORABC123!?,6,8,0,8
2973,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,6,ERRORABC123!?,6,6,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,5,2,10
2974,ERRORABC123!?,4,6,6,4,ERRORABC123!?,ERRORABC123!?,8,3,4,10,ERRORABC123!?,7,5,8,0,ERRORABC123!?
2975,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,6,6,6,ERRORABC123!?,6,ERRORABC123!?,8,ERRORABC123!?,8
2976,B,ERRORABC123!?,6,6,5,6,ERRORABC123!?,ERRORABC123!?,5,5,7,ERRORABC123!?,8,6,ERRORABC123!?,8,3
2977,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,5,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,8,7,12,ERRORABC123!?,ERRORABC123!?
2978,ERRORABC123!?,1,0,ERRORABC123!?,1,ERRORABC123!?,7,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,0,8,ERRORABC123!?,ERRORABC123!?
2979,ERRORABC123!?,ERRORABC123!?,14,7,ERRORABC123!?,5,8,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,11,6,6
2980,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,7,ERRORABC123!?,ERRORABC123!?,6
2981,ERRORABC123!?,3,2,ERRORABC123!?,3,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,7,2,8,3,7
2982,Y,ERRORABC123!?,ERRORABC123!?,6,5,3,ERRORABC123!?,ERRORABC123!?,1,6,ERRORABC123!?,11,9,2,11,2,8
2983,ERRORABC123!?,2,ERRORABC123!?,3,1,2,ERRORABC123!?,6,3,6,10,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,2,ERRORABC123!?
2984,K,2,6,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,8,2,7,4,11,3,8,ERRORABC123!?,10
2985,ERRORABC123!?,5,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,11,2,3,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,5,7,ERRORABC123!?,9
2986,C,1,0,2,0,0,7,ERRORABC123!?,6,ERRORABC123!?,7,6,13,ERRORABC123!?,8,4,10
2987,Z,4,ERRORABC123!?,5,ERRORABC123!?,5,ERRORABC123!?,7,ERRORABC123!?,10,ERRORABC123!?,5,ERRORABC123!?,1,7,8,8
2988,A,3,6,5,5,ERRORABC123!?,9,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,8,6,ERRORABC123!?,10,ERRORABC123!?,ERRORABC123!?
2989,ERRORABC123!?,ERRORABC123!?,11,ERRORABC123!?,9,4,9,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,10,4,7
2990,H,6,9,6,5,4,ERRORABC123!?,7,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9,5,ERRORABC123!?
2991,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,3,7,7,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,7
2992,B,ERRORABC123!?,6,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,3,6,5,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6
2993,ERRORABC123!?,4,ERRORABC123!?,6,ERRORABC123!?,6,ERRORABC123!?,9,ERRORABC123!?,4,5,ERRORABC123!?,7,7,12,6,8
2994,M,2,ERRORABC123!?,ERRORABC123!?,1,1,7,ERRORABC123!?,10,0,ERRORABC123!?,8,8,6,ERRORABC123!?,0,8
2995,ERRORABC123!?,1,3,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,2,1,8,2,ERRORABC123!?,1,6,0,ERRORABC123!?
2996,L,1,ERRORABC123!?,1,ERRORABC123!?,0,ERRORABC123!?,2,5,4,1,2,6,0,8,0,8
2997,ERRORABC123!?,ERRORABC123!?,7,7,5,7,ERRORABC123!?,ERRORABC123!?,2,1,8,4,8,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?
2998,B,6,10,6,8,5,6,6,ERRORABC123!?,8,ERRORABC123!?,6,7,2,8,ERRORABC123!?,ERRORABC123!?
2999,ERRORABC123!?,2,3,3,ERRORABC123!?,ERRORABC123!?,1,ERRORABC123!?,4,3,12,9,5,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?
3000,L,4,ERRORABC123!?,ERRORABC123!?,5,1,1,0,ERRORABC123!?,6,0,1,ERRORABC123!?,ERRORABC123!?,8,0,8
3001,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,11,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,6,3,8
3002,Q,2,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?,8,ERRORABC123!?,5,ERRORABC123!?,7,8,10,2,ERRORABC123!?,ERRORABC123!?,8
3003,ERRORABC123!?,3,7,5,5,2,7,10,1,ERRORABC123!?,7,12,8,1,ERRORABC123!?,0,ERRORABC123!?
3004,X,3,7,5,5,2,6,9,ERRORABC123!?,8,10,8,8,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?
3005,T,ERRORABC123!?,1,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,14,ERRORABC123!?,4,7,10,ERRORABC123!?,0,ERRORABC123!?,0,ERRORABC123!?
3006,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,4,3,8,ERRORABC123!?,6,3,ERRORABC123!?,ERRORABC123!?,9,2,9,ERRORABC123!?,9
3007,N,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?,7,7,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,3,ERRORABC123!?,3,ERRORABC123!?
3008,D,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,5,7,ERRORABC123!?,4,ERRORABC123!?,7,ERRORABC123!?,8,4,7,ERRORABC123!?,5
3009,M,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?,ERRORABC123!?,5,9,5,7,8,6,2,ERRORABC123!?
3010,Q,4,ERRORABC123!?,5,7,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,4,9,ERRORABC123!?,10,3,8,5,8
3011,ERRORABC123!?,3,ERRORABC123!?,4,7,3,ERRORABC123!?,11,ERRORABC123!?,ERRORABC123!?,11,11,8,0,8,2,ERRORABC123!?
3012,V,ERRORABC123!?,5,6,ERRORABC123!?,ERRORABC123!?,6,12,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,10,1,ERRORABC123!?
3013,V,4,9,7,ERRORABC123!?,2,ERRORABC123!?,8,ERRORABC123!?,3,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?,ERRORABC123!?
3014,ERRORABC123!?,4,ERRORABC123!?,5,4,5,ERRORABC123!?,5,5,ERRORABC123!?,7,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?
3015,ERRORABC123!?,6,8,ERRORABC123!?,6,5,7,8,2,10,11,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,4,ERRORABC123!?
3016,ERRORABC123!?,ERRORABC123!?,7,4,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,1,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,8,0,ERRORABC123!?
3017,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,3,8,7,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
3018,I,3,9,5,7,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,9,5,4,ERRORABC123!?,9,6,ERRORABC123!?
3019,X,ERRORABC123!?,7,4,5,2,7,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,3,ERRORABC123!?,6,ERRORABC123!?
3020,U,2,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,5,7,13,8,ERRORABC123!?,10,0,8
3021,ERRORABC123!?,3,5,4,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,3,9,6,ERRORABC123!?,7,3,8,6,ERRORABC123!?
3022,T,ERRORABC123!?,5,4,3,ERRORABC123!?,9,ERRORABC123!?,3,7,ERRORABC123!?,11,9,ERRORABC123!?,11,ERRORABC123!?,8
3023,ERRORABC123!?,ERRORABC123!?,4,4,3,2,ERRORABC123!?,8,2,ERRORABC123!?,10,7,ERRORABC123!?,4,ERRORABC123!?,0,8
3024,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,6,5,ERRORABC123!?,ERRORABC123!?,4,4,5,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,6
3025,A,2,ERRORABC123!?,4,ERRORABC123!?,2,9,2,ERRORABC123!?,2,ERRORABC123!?,2,ERRORABC123!?,1,ERRORABC123!?,ERRORABC123!?,7
3026,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,6,3,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,7,9,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8
3027,V,7,9,7,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,2,4,9,11,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,6
3028,ERRORABC123!?,ERRORABC123!?,7,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
3029,R,3,7,ERRORABC123!?,ERRORABC123!?,4,7,ERRORABC123!?,5,ERRORABC123!?,8,ERRORABC123!?,9,3,6,5,ERRORABC123!?
3030,V,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,3,9,ERRORABC123!?,4,ERRORABC123!?,6,ERRORABC123!?,6,ERRORABC123!?,11,3,6
3031,F,2,1,2,2,1,5,10,4,5,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,3,7
3032,ERRORABC123!?,ERRORABC123!?,6,5,9,ERRORABC123!?,8,6,ERRORABC123!?,1,ERRORABC123!?,ERRORABC123!?,9,7,10,8,8
3033,X,ERRORABC123!?,6,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,8,ERRORABC123!?,5,8,3,8,ERRORABC123!?,ERRORABC123!?
3034,M,ERRORABC123!?,6,7,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,5
3035,Y,2,ERRORABC123!?,3,1,ERRORABC123!?,ERRORABC123!?,10,ERRORABC123!?,1,ERRORABC123!?,ERRORABC123!?,8,1,ERRORABC123!?,0,ERRORABC123!?
3036,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,1,7,7,4,4,7,6,8,3,ERRORABC123!?,ERRORABC123!?,8
3037,U,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,5,7,8,4,3,6,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,1,7
3038,G,6,ERRORABC123!?,5,6,ERRORABC123!?,8,ERRORABC123!?,4,3,ERRORABC123!?,ERRORABC123!?,9,4,ERRORABC123!?,8,ERRORABC123!?
3039,S,3,7,ERRORABC123!?,5,2,7,8,4,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,10,5,7
3040,F,6,10,ERRORABC123!?,ERRORABC123!?,9,8,8,1,6,ERRORABC123!?,6,5,5,10,ERRORABC123!?,6
3041,L,2,4,ERRORABC123!?,2,1,6,4,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,10,0,ERRORABC123!?,2,ERRORABC123!?
3042,S,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,7,4,3,3,7,5,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6
3043,M,ERRORABC123!?,8,7,6,5,ERRORABC123!?,5,2,ERRORABC123!?,9,ERRORABC123!?,6,7,ERRORABC123!?,2,8
3044,U,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,7,14,8,3,9,0,ERRORABC123!?
3045,ERRORABC123!?,2,ERRORABC123!?,3,3,ERRORABC123!?,7,2,1,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,5,2,ERRORABC123!?
3046,S,3,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,3,6,5,ERRORABC123!?,3,8,9,3
3047,J,4,9,5,7,3,ERRORABC123!?,ERRORABC123!?,2,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,0,ERRORABC123!?,1,7
3048,ERRORABC123!?,3,ERRORABC123!?,4,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,7,6,8,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?
3049,J,3,7,ERRORABC123!?,5,ERRORABC123!?,8,9,4,3,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4
3050,T,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,6,8,ERRORABC123!?,ERRORABC123!?,7,6,ERRORABC123!?,5,ERRORABC123!?,4,8
3051,E,ERRORABC123!?,6,4,ERRORABC123!?,4,8,7,6,3,7,ERRORABC123!?,10,ERRORABC123!?,8,ERRORABC123!?,9
3052,T,ERRORABC123!?,7,6,ERRORABC123!?,ERRORABC123!?,5,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,10,5,ERRORABC123!?,ERRORABC123!?,7
3053,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,3,5,12,7,12,ERRORABC123!?,8,6,9
3054,F,3,ERRORABC123!?,5,3,2,6,10,2,6,13,7,ERRORABC123!?,1,ERRORABC123!?,2,ERRORABC123!?
3055,R,ERRORABC123!?,9,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,5,8,ERRORABC123!?,ERRORABC123!?,6,8
3056,ERRORABC123!?,ERRORABC123!?,6,4,ERRORABC123!?,4,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,6,ERRORABC123!?,3,8,2,7
3057,M,ERRORABC123!?,9,6,4,3,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,10,6,3,ERRORABC123!?,8
3058,A,ERRORABC123!?,3,2,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,1,9,2,9,ERRORABC123!?,6,1,7
3059,Q,ERRORABC123!?,9,ERRORABC123!?,10,7,8,6,8,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,8,ERRORABC123!?,10
3060,M,4,4,5,6,3,7,7,12,ERRORABC123!?,7,9,ERRORABC123!?,8,6,0,8
3061,W,2,ERRORABC123!?,ERRORABC123!?,2,2,ERRORABC123!?,11,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,11,0,ERRORABC123!?
3062,M,ERRORABC123!?,4,ERRORABC123!?,3,4,ERRORABC123!?,ERRORABC123!?,3,4,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?
3063,ERRORABC123!?,4,ERRORABC123!?,4,7,4,7,ERRORABC123!?,5,3,7,9,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,8
3064,ERRORABC123!?,3,8,ERRORABC123!?,6,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,7,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9
3065,U,2,1,ERRORABC123!?,1,1,8,ERRORABC123!?,11,5,7,ERRORABC123!?,8,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
3066,I,1,5,ERRORABC123!?,ERRORABC123!?,1,7,7,1,7,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?,8,3,8
3067,N,ERRORABC123!?,ERRORABC123!?,6,8,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,4,6,ERRORABC123!?,ERRORABC123!?,8,0,ERRORABC123!?
3068,I,1,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,1,7,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,8,0,8,ERRORABC123!?,8
3069,U,6,11,9,8,5,6,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,10,ERRORABC123!?,9,ERRORABC123!?,ERRORABC123!?
3070,C,6,ERRORABC123!?,ERRORABC123!?,8,4,2,ERRORABC123!?,5,7,ERRORABC123!?,ERRORABC123!?,13,1,ERRORABC123!?,2,ERRORABC123!?
3071,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,10,2,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,10,2,7
3072,Z,3,5,5,6,3,ERRORABC123!?,3,2,6,7,3,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?
3073,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,4,ERRORABC123!?,6,ERRORABC123!?,10,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5
3074,ERRORABC123!?,3,7,ERRORABC123!?,5,4,ERRORABC123!?,10,2,3,ERRORABC123!?,9,8,ERRORABC123!?,11,ERRORABC123!?,8
3075,U,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?,7,ERRORABC123!?,ERRORABC123!?,9,ERRORABC123!?,9,ERRORABC123!?,7
3076,M,2,1,3,1,2,7,ERRORABC123!?,ERRORABC123!?,4,6,7,ERRORABC123!?,ERRORABC123!?,6,2,ERRORABC123!?
3077,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,8,ERRORABC123!?,9,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,7,7,9,8,ERRORABC123!?
3078,W,4,8,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,8,ERRORABC123!?,0,8
3079,Z,ERRORABC123!?,2,3,3,2,7,ERRORABC123!?,5,ERRORABC123!?,6,ERRORABC123!?,8,2,8,7,8
3080,ERRORABC123!?,3,1,ERRORABC123!?,3,2,7,ERRORABC123!?,ERRORABC123!?,6,ERRORABC123!?,11,ERRORABC123!?,2,11,ERRORABC123!?,8
3081,U,ERRORABC123!?,5,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,8,7,8,ERRORABC123!?,9,7,ERRORABC123!?,ERRORABC123!?,1,8
3082,T,1,ERRORABC123!?,2,0,0,7,ERRORABC123!?,1,4,7,ERRORABC123!?,8,0,8,ERRORABC123!?,ERRORABC123!?
3083,ERRORABC123!?,4,9,5,ERRORABC123!?,5,8,7,5,ERRORABC123!?,ERRORABC123!?,5,7,1,ERRORABC123!?,7,8
3084,ERRORABC123!?,6,10,ERRORABC123!?,5,ERRORABC123!?,7,8,4,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?,9,9
3085,S,2,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,8,8,ERRORABC123!?,6,ERRORABC123!?,5,ERRORABC123!?,2,8,ERRORABC123!?,ERRORABC123!?
3086,ERRORABC123!?,ERRORABC123!?,9,5,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,3,ERRORABC123!?,4,8
3087,S,4,8,5,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,6,10,ERRORABC123!?,6,10,0,9,ERRORABC123!?,8
3088,V,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,4,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,7,ERRORABC123!?,10,1,8
3089,A,7,12,7,7,4,12,1,4,1,ERRORABC123!?,4,ERRORABC123!?,5,4,ERRORABC123!?,11
3090,B,6,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,8,ERRORABC123!?,5,6,ERRORABC123!?,6,ERRORABC123!?,ERRORABC123!?,8,6,10
3091,J,ERRORABC123!?,ERRORABC123!?,3,12,3,ERRORABC123!?,7,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,10
3092,Z,ERRORABC123!?,ERRORABC123!?,3,ERRORABC123!?,ERRORABC123!?,7,7,5,ERRORABC123!?,ERRORABC123!?,6,8,ERRORABC123!?,8,7,ERRORABC123!?
3093,L,ERRORABC123!?,ERRORABC123!?,6,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,6,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,ERRORABC123!?
3094,A,3,11,5,8,ERRORABC123!?,12,ERRORABC123!?,ERRORABC123!?,2,ERRORABC123!?,2,ERRORABC123!?,2,ERRORABC123!?,ERRORABC123!?,8
3095,H,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,5,7,8,ERRORABC123!?,1,ERRORABC123!?,5,8,ERRORABC123!?,ERRORABC123!?,0,ERRORABC123!?
3096,S,4,7,5,5,3,8,ERRORABC123!?,3,ERRORABC123!?,9,ERRORABC123!?,7,2,8,5,8
3097,Y,2,ERRORABC123!?,ERRORABC123!?,3,2,7,10,1,7,7,ERRORABC123!?,ERRORABC123!?,2,11,2,ERRORABC123!?
3098,ERRORABC123!?,ERRORABC123!?,ERRORABC123!?,3,4,2,6,8,8,ERRORABC123!?,ERRORABC123!?,8,ERRORABC123!?,1,10,ERRORABC123!?,ERRORABC123!?
3099,K,4,8,4,6,ERRORABC123!?,ERRORABC123!?,6,8,3,ERRORABC123!?,7,11,4,8,ERRORABC123!?,ERRORABC123!?
