median_house_value,median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,binaryClass
150300,2.6014,15,3595,964,1839,877,34.14,N
136000,3.1094,33,1328,348,903,329,34.14,N
151700,3.4375,42,683,127,541,138,34.13,N
148000,3.0417,24,1596,388,1329,352,34.14,N
144500,3.4777,33,2038,473,1546,469,34.13,N
142900,4.0083,37,1447,309,1279,290,34.13,N
130500,3.6806,29,2110,460,1890,448,34.13,N
500001,6.4576,33,2474,472,1268,437,34.15,N
295000,4.9968,35,5005,848,-9999999,813,34.17,N
311800,6.101,42,1020,156,398,157,34.16,N
318500,5.532,47,1745,270,753,275,34.16,N
365000,6.5254,38,2981,432,1063,437,34.18,N
262000,4.2407,40,3838,696,1851,674,34.16,N
270600,4.8059,52,1354,227,531,206,34.16,N
256800,4.275,48,3436,673,1540,648,34.15,N
265500,,52,2234,472,986,439,34.15,N
280800,3.875,44,2419,437,1045,432,34.15,N
500001,9.4667,32,3868,548,-9999999,528,34.17,N
500001,6.6888,36,1640,239,693,253,34.16,N
486800,4.1797,43,1694,283,674,-9999999,,N
307400,3.6,44,2267,-9999999,980,372,34.15,N
410400,,38,2726,398,1059,380,34.17,N
388900,5.0482,45,2535,455,1036,437,34.17,N
265700,4.0385,52,1885,401,764,373,34.17,N
455400,5.2865,37,3134,532,1220,-9999999,34.18,N
-9999999,5.9582,38,1594,249,633,247,34.16,N
376800,4.5625,36,3908,732,1688,725,34.16,N
-9999999,3.5694,41,3320,713,1236,659,34.16,N
286500,3.6705,46,1467,298,-9999999,267,34.16,N
362500,4.8214,34,2297,419,909,412,34.16,N
330000,,35,3585,671,1401,623,34.16,N
484700,7.1615,36,1401,218,667,225,34.16,
500001,9.8098,39,-9999999,366,1034,338,34.16,N
500001,8.2004,32,5131,665,1877,622,34.15,N
500001,15.0001,37,1980,226,697,226,34.15,N
500001,,39,2125,295,862,303,34.14,N
391500,3.6341,-9999999,4307,918,1769,845,34.13,N
437300,7.0315,42,2461,379,1179,360,34.14,N
-9999999,8.4889,40,2662,379,1151,387,34.14,
352200,4.7308,-9999999,1446,250,721,243,34.14,N
276200,4.645,22,3359,643,1227,588,34.13,N
-9999999,3.3621,34,1523,311,676,295,34.15,N
500001,15.0001,35,249,31,268,29,34.13,
218300,3.735,23,3264,729,1475,668,34.13,N
227300,3.292,28,12139,2873,5359,2731,34.13,N
252800,2.6316,34,1077,257,478,199,34.14,N
273600,3.9464,32,3308,718,1803,667,34.13,N
242600,3.0727,31,4353,1117,2338,1037,34.14,N
365900,4.7159,36,1332,217,648,203,34.13,N
430900,5.2329,33,2874,458,1239,431,34.13,N
429000,7.7307,34,1966,319,980,297,34.13,N
445700,4.9583,33,2352,373,995,359,34.13,N
366000,6.1536,37,2250,360,989,329,34.12,N
414800,3.8029,35,2454,458,1110,435,34.11,N
395100,5.4555,36,1471,246,751,-9999999,34.12,N
408500,,38,1778,288,870,281,34.12,N
437400,6.5722,34,2837,460,1344,458,34.11,N
161700,2.8352,20,-9999999,831,1816,744,34.14,N
187300,3.52,23,3425,754,2202,729,34.14,N
222800,3.5878,31,6854,1578,4131,1524,34.14,N
185600,3.1304,44,2492,611,1951,596,34.15,N
178300,2.5417,43,-9999999,633,1544,617,34.15,N
184100,3.2377,32,6597,1579,3689,1459,,N
235200,3.6336,27,6341,1289,2899,1192,34.14,N
153000,2.5625,-9999999,2346,567,1988,474,,N
167000,3.2841,24,2584,520,1869,503,34.13,N
178100,1.0548,31,1298,431,1131,-9999999,34.14,N
166900,3.2723,39,1302,303,800,291,34.14,N
158100,3.5481,35,1005,224,742,-9999999,34.13,N
129400,2.9605,37,1568,371,1618,350,34.13,N
130100,3.2857,37,1527,331,1504,324,34.12,N
139200,2.5395,35,1040,231,1040,242,,N
175000,3.9219,37,1340,325,928,333,34.12,N
173800,4.625,42,870,170,546,164,34.12,N
212300,4.0729,-9999999,3374,671,1906,-9999999,34.13,
214800,4.5491,43,1185,207,657,198,34.12,N
278400,3.94,32,1937,332,922,340,34.12,N
212200,2.5114,32,1978,536,826,470,34.11,N
211600,3.5625,-9999999,1858,345,1054,329,34.11,N
212200,4.2132,36,1722,320,794,322,34.11,N
233700,,36,1928,361,1008,368,34.1,N
226000,1.9688,36,452,80,248,83,34.1,N
219000,4.625,39,1504,280,718,-9999999,34.11,N
233600,4.4236,38,2301,416,1079,398,34.1,N
201700,2.7857,30,2773,634,1376,540,34.1,N
223900,3.94,31,2647,539,1473,520,34.1,N
233100,2.9422,32,2668,609,1512,541,34.1,N
416900,5.9175,-9999999,2076,361,988,332,34.11,N
-9999999,5.0,44,773,120,405,-9999999,34.11,N
500001,7.1885,37,1275,177,598,174,34.11,N
426500,5.1509,42,3677,627,1779,622,34.11,N
430200,6.0878,-9999999,2485,-9999999,1072,342,34.13,N
445200,5.2249,39,2522,380,1113,357,34.12,N
500001,6.5989,44,2007,288,921,-9999999,34.12,N
500001,5.6916,30,2170,318,984,309,34.12,N
476700,3.55,20,5218,959,2302,850,34.12,N
248100,3.6639,25,3891,848,1848,759,34.12,N
271500,4.5667,34,2941,-9999999,1660,576,34.12,N
275400,4.1875,35,2053,369,1044,375,34.12,N
272400,3.2596,48,1410,304,677,274,34.11,N
239500,2.7656,-9999999,2178,485,914,412,34.11,N
248700,3.0854,39,2603,547,1196,487,34.11,N
273800,4.8017,39,2302,412,1590,406,34.1,N
272600,4.7931,36,1606,318,889,294,34.1,N
257100,3.8646,38,3229,636,1599,609,34.1,N
283600,4.3523,42,1576,313,697,282,34.1,N
256700,3.5761,43,1833,355,786,334,34.1,N
260100,3.6995,38,2438,442,1308,461,34.1,N
235300,4.1488,38,2317,-9999999,1155,426,34.1,N
248900,4.6211,34,2597,-9999999,1542,470,34.09,N
252200,4.2321,30,-9999999,427,1107,416,34.1,N
274300,4.0179,42,2065,404,1313,402,34.1,N
-9999999,4.0625,38,2036,388,1096,-9999999,34.09,N
265900,4.8594,38,1960,330,874,308,34.1,N
258100,3.244,36,1239,238,717,237,34.09,
251600,4.2898,40,1975,389,1116,378,34.09,N
198100,2.5474,40,1745,370,1293,357,34.09,N
202400,4.0987,35,1224,267,887,276,34.09,N
208800,2.9196,33,2557,-9999999,1715,530,34.09,N
207200,3.7222,34,1823,457,1485,401,34.09,N
206800,3.7066,32,-9999999,718,2316,-9999999,34.09,N
183000,3.8304,-9999999,2001,388,1461,397,34.09,N
173300,4.037,35,1148,258,975,253,34.08,N
-9999999,2.8333,32,1339,334,817,349,,N
146400,3.5268,23,602,135,409,123,34.09,N
191800,3.4286,32,1747,399,1199,402,34.09,N
175200,3.6944,29,2741,-9999999,2449,677,34.08,N
170000,2.6917,24,2080,514,1976,478,34.09,N
180900,2.8029,29,1219,338,1152,323,34.09,N
169600,2.4464,-9999999,1780,484,1732,454,34.08,N
176300,3.4005,34,2249,460,1544,441,34.1,N
179200,3.6094,29,3402,747,2331,690,34.09,N
181400,3.8085,27,2424,542,1713,557,34.1,N
166300,3.4609,35,2120,412,1375,405,34.1,
195300,3.994,29,2003,401,1520,364,34.08,
166300,3.6531,-9999999,2281,522,1969,500,,N
175900,2.6071,28,2769,631,2452,581,34.08,N
173600,4.275,35,1852,358,1414,347,34.08,N
181700,3.1944,32,1613,361,1283,404,34.09,N
185100,4.6467,23,1627,318,1279,289,34.08,N
164200,2.3333,31,2402,632,2830,603,34.08,N
159200,3.25,37,775,179,726,183,34.08,N
162800,2.9688,42,1597,-9999999,1311,352,34.08,N
131300,2.3611,52,177,59,269,-9999999,34.07,N
138800,2.0433,34,572,154,752,182,34.08,N
143500,2.7254,25,4909,1422,4983,1293,34.08,N
159200,2.4914,-9999999,1572,427,1857,428,34.08,N
180500,2.5119,37,778,205,850,198,34.08,
189100,3.4202,34,1197,260,942,245,34.08,N
201500,3.2569,42,1988,402,1239,402,34.08,N
211900,3.2312,-9999999,2462,553,1843,538,34.08,N
207100,3.125,-9999999,1554,393,1427,370,34.07,N
214600,2.806,37,1210,252,733,243,34.08,N
183100,3.2373,32,4492,1075,4119,1035,34.07,N
184400,2.3929,30,2308,674,-9999999,691,34.07,N
152000,3.1042,37,1091,269,905,242,34.07,N
162100,2.1453,36,1018,305,-9999999,292,,N
174000,3.8125,39,-9999999,315,1090,308,34.07,N
173100,2.3098,39,2451,649,2536,648,34.07,N
182600,2.9334,22,6311,1572,6666,1456,34.07,N
155400,2.7721,26,557,153,455,196,34.06,N
166800,2.2559,24,5684,1485,6626,1481,34.07,N
156300,2.3236,21,3245,959,3528,887,34.07,N
170600,2.4706,31,1513,389,1396,364,34.06,N
135200,2.1094,24,2343,834,3537,824,34.06,N
157800,2.4875,27,2510,783,3481,726,34.06,N
153400,2.1383,31,957,295,1300,287,34.06,N
154200,3.1875,30,2019,551,2481,484,34.06,N
176100,3.2132,39,1258,245,988,228,34.06,N
174500,2.1781,32,2286,-9999999,2991,655,,N
162500,2.1406,45,531,164,722,166,34.06,N
142000,3.023,25,1022,291,1570,297,34.06,N
173900,2.5763,28,2127,625,3160,620,34.06,N
165900,1.9189,28,1778,605,2184,574,34.06,N
199300,3.5156,31,1370,284,1062,277,34.07,N
205500,3.29,32,4089,975,3775,955,34.07,N
168600,2.5985,34,2873,718,2758,699,34.06,N
156800,,32,1252,273,1337,263,34.05,N
162200,3.7279,36,1084,202,920,199,34.05,N
-9999999,2.6288,28,1516,363,1011,344,34.04,N
151400,2.5445,24,2469,731,3818,712,34.06,N
137500,3.0536,-9999999,1058,230,1043,229,34.05,N
160600,3.0,35,1734,363,1527,344,,N
165100,3.5,32,1619,323,1492,342,34.04,N
161200,,33,1348,260,1098,257,34.04,N
175000,2.375,36,21,7,21,9,34.03,N
173800,2.2577,26,2929,970,3792,817,34.06,N
156300,2.5562,34,1610,513,2050,508,34.05,N
157500,2.7955,36,1359,317,1557,370,34.05,N
142300,3.5129,36,1345,331,1511,309,34.05,N
161700,2.1602,31,1135,355,1717,368,34.05,N
167000,2.3611,28,991,255,1145,265,34.05,N
165800,3.0625,33,2464,627,2932,568,34.05,N
158100,2.8821,28,6175,1449,5041,1408,34.04,N
500001,10.2289,34,3113,409,1139,418,34.18,N
454800,7.8588,34,4062,597,1525,566,34.17,N
326100,5.5418,36,2415,394,1215,413,34.17,N
-9999999,5.7051,35,2142,373,986,374,34.17,N
450000,7.7108,39,2321,336,880,339,34.18,N
483300,9.532,50,1430,186,620,201,34.19,N
444100,8.7835,52,2405,299,970,319,34.19,N
359400,6.827,36,-9999999,725,1897,700,34.2,N
295500,6.4288,-9999999,2676,427,1022,395,34.2,N
303900,4.7269,48,2539,425,930,364,34.19,N
274100,6.1824,36,1449,235,621,210,34.21,N
234000,5.6629,45,1213,206,529,231,34.2,N
240200,4.9312,46,1271,236,573,210,34.2,N
242200,2.92,43,1621,365,1015,329,34.19,N
201000,4.73,45,3595,619,1686,607,,N
207400,5.0953,39,-9999999,426,1282,432,34.2,N
210300,3.7932,37,1997,361,1037,-9999999,34.2,N
182100,4.1518,52,1786,306,1018,322,34.2,N
184200,4.5,46,1505,261,857,269,34.2,N
238900,5.4727,34,2765,515,1422,438,34.21,N
161600,3.2216,48,1854,360,1126,382,,N
160700,3.6094,47,1717,314,868,295,34.19,N
177900,4.25,40,1840,358,1218,347,34.19,N
176000,3.8203,43,1810,343,988,307,34.2,N
241700,5.9845,40,1983,298,853,271,34.22,N
500001,9.8413,32,10626,1504,4353,1482,34.22,N
500001,8.3695,37,2260,322,941,303,34.22,N
415900,8.72,44,1473,250,-9999999,239,34.2,N
483700,7.419,41,2031,294,859,302,34.2,N
500001,6.553,41,1602,228,680,225,34.21,N
500001,7.8375,-9999999,1477,228,609,-9999999,34.21,N
443900,6.7571,-9999999,1493,237,665,224,34.21,N
450800,,41,1676,263,757,255,34.21,N
500001,8.4802,34,3296,483,1268,478,34.23,N
-9999999,,39,3008,386,-9999999,-9999999,34.22,N
500001,7.0059,39,2686,417,1094,402,34.22,N
431800,5.9771,37,1376,237,618,226,34.22,N
500001,6.3794,35,3646,552,1409,534,34.2,N
500001,,44,2890,438,1219,429,34.2,N
500001,15.0001,48,1371,164,528,-9999999,34.19,N
500001,15.0001,34,2061,260,825,254,34.19,N
500001,15.0001,38,2176,-9999999,798,243,34.19,
500001,,43,4269,591,1467,582,34.17,N
500001,9.4987,34,5012,746,1699,715,34.16,N
142100,2.2328,46,2230,488,1985,456,34.18,N
127500,2.0278,46,2553,558,-9999999,492,34.17,N
136100,1.8932,44,1870,-9999999,1345,391,34.18,N
135700,2.4135,48,568,145,559,-9999999,34.18,N
163800,3.1741,52,-9999999,228,703,221,34.17,N
218800,2.8472,44,1401,246,-9999999,271,34.18,N
154900,3.3125,42,-9999999,320,1118,311,34.18,N
149200,2.2326,42,2076,462,1641,436,34.19,
153500,3.5887,44,2195,449,1377,417,34.19,
166700,4.375,38,1280,231,828,237,34.18,N
173100,4.0985,45,1790,316,1035,312,34.19,N
234000,4.0714,42,2203,412,1012,377,34.19,N
226500,3.5164,47,3457,622,1700,579,34.18,N
237000,3.7222,49,1678,277,737,287,34.19,N
-9999999,2.3967,38,1750,411,1398,409,34.19,N
300900,5.894,47,2168,352,902,361,34.18,N
376000,5.9009,52,3571,510,1434,490,34.18,N
352700,6.3467,44,2357,342,891,337,34.18,N
310900,6.4223,52,3094,-9999999,1309,488,34.18,N
-9999999,4.7241,46,1774,315,753,330,34.17,N
268100,3.2813,48,1111,229,421,202,34.17,N
261600,4.99,50,3374,598,1484,569,34.17,
234600,3.1115,46,2837,592,-9999999,549,34.17,N
230600,3.4777,47,2344,513,1537,481,34.18,N
309100,5.8309,52,1464,211,603,-9999999,34.18,N
225000,2.2692,37,2705,676,1551,608,34.17,N
315400,3.7159,52,1835,330,777,317,34.17,N
261500,3.6094,52,1784,-9999999,966,345,34.17,N
175000,3.9688,52,-9999999,317,996,329,34.18,N
173100,4.0524,52,2667,486,1681,504,34.17,N
166800,2.7148,42,2757,713,2112,653,34.17,N
154400,3.3068,50,1493,326,1000,323,34.18,N
146700,2.3,40,1054,251,1056,276,34.17,N
148800,2.3029,45,2612,664,3117,584,34.18,N
181300,1.2891,18,1711,383,1474,415,34.16,N
146600,,38,2471,529,1661,441,34.16,N
178400,1.7321,44,1284,278,925,261,34.16,N
155400,,46,-9999999,261,674,255,34.17,N
230700,4.1518,43,1276,226,545,209,34.16,N
261800,6.07,52,1576,239,696,249,34.16,N
500001,6.6031,19,1721,290,571,278,34.15,N
-9999999,7.3715,17,821,163,229,164,34.15,N
153500,,39,2776,840,2546,773,34.16,N
187500,1.5156,52,407,160,227,148,34.15,N
500001,1.1667,52,275,123,273,111,,N
162500,1.6921,52,1925,597,2258,594,34.16,N
137500,2.3654,49,806,199,698,172,34.15,N
158000,,34,2384,604,2073,540,34.17,N
142300,2.1377,30,2598,757,-9999999,769,34.16,N
148600,1.6887,-9999999,2410,632,2135,578,,N
146400,1.0846,36,930,280,1024,300,34.17,N
200000,,49,1962,435,1329,457,34.17,N
156300,2.6217,36,2973,807,2846,784,,N
205700,2.7201,52,2687,600,1716,544,34.17,N
176700,2.2095,36,2162,658,1337,590,34.16,N
141700,2.8125,24,1125,-9999999,579,321,34.15,
-9999999,1.9923,41,1256,407,855,383,34.15,N
175000,0.8438,17,1896,674,971,652,34.15,N
215400,2.2174,38,1843,565,1449,524,34.16,N
188600,2.8631,30,1762,416,940,398,34.16,N
169500,2.4817,33,2682,716,2050,692,,N
155600,2.6038,18,1665,477,1095,390,,N
168800,2.1763,19,557,216,673,212,34.15,N
171400,3.0119,22,1671,480,1005,443,34.15,
173100,3.1875,-9999999,2099,625,1252,554,34.15,N
125000,2.5903,-9999999,1119,334,739,323,34.15,N
287900,,52,2948,542,1363,495,34.17,N
250400,4.0,52,1872,357,984,364,34.16,N
227900,3.6719,52,1596,-9999999,1024,292,34.16,N
215000,2.5664,52,1787,427,1107,410,34.16,N
269300,4.3083,36,2875,552,1131,458,,N
283700,4.2386,44,2795,496,1235,469,34.16,N
300500,3.4811,44,4505,894,2296,899,34.17,N
222600,3.0417,52,2166,483,1308,467,34.17,N
325600,5.4223,52,3158,459,1229,444,34.16,N
320300,4.2065,52,2489,437,1101,438,34.16,N
239900,3.4583,52,1353,274,852,306,34.16,N
196100,2.6172,40,1950,509,1038,438,34.15,N
184100,3.6474,26,2193,558,1186,559,34.15,N
198200,3.4167,35,1760,447,984,384,34.15,
241900,,52,2218,437,1211,422,34.16,N
330200,5.3272,46,2863,-9999999,1412,498,34.16,N
199000,3.0096,32,978,227,543,211,,N
177500,2.7431,14,1442,-9999999,782,343,34.15,N
242400,4.5461,42,3490,665,1713,620,34.16,N
237500,2.2321,46,271,74,150,55,34.15,N
205000,,52,670,141,268,110,34.15,N
260100,4.3452,49,1467,259,688,260,34.15,N
321100,5.0393,45,2199,358,942,353,34.16,N
397500,6.4761,39,1804,265,730,-9999999,34.16,N
369400,4.2143,35,2459,438,970,-9999999,34.16,N
209200,3.4087,45,1095,237,672,234,34.15,N
260400,3.375,42,3200,685,1668,-9999999,34.14,N
500001,0.4999,28,238,58,142,31,34.15,N
-9999999,3.1729,45,2923,604,-9999999,560,34.14,N
470800,6.1159,52,1282,-9999999,431,187,34.14,N
500001,8.4546,46,1238,147,377,145,34.13,N
500001,7.4185,35,-9999999,279,733,291,34.13,N
281100,3.88,42,2690,589,1149,535,34.14,N
373800,5.3377,-9999999,3092,549,1457,536,34.14,N
210900,2.8007,45,1345,-9999999,749,327,34.15,N
324400,,45,3066,659,1287,625,34.14,N
358700,6.0948,52,2401,332,810,308,34.14,N
213200,3.6572,26,6262,1645,3001,1505,34.14,N
434800,4.1324,44,3298,615,1417,-9999999,34.14,N
490400,5.8692,52,2337,352,981,328,34.14,N
217900,3.1033,-9999999,3420,977,1718,947,34.14,
493200,4.8304,39,2099,397,1500,380,34.13,N
210900,3.4531,23,5465,1494,2511,1359,34.14,N
163900,3.2643,29,3559,1034,1658,965,34.14,N
225000,3.6997,24,10239,2823,-9999999,2565,34.14,N
282300,2.9511,17,3404,1011,1694,949,34.14,N
258300,3.875,27,1499,426,755,414,34.14,N
55000,2.3,45,543,191,-9999999,181,,N
187500,1.625,52,403,117,361,105,34.14,N
500001,8.2435,27,1551,254,816,233,34.14,N
500001,7.4817,41,3039,482,973,446,34.14,N
500001,11.7894,45,2257,285,759,305,34.14,N
477800,7.9213,-9999999,2734,415,1057,424,34.13,N
363000,6.1953,39,2902,460,1007,420,34.13,N
-9999999,7.7116,38,3039,487,1131,465,34.14,N
500001,,30,2763,520,1143,465,34.13,N
314700,,50,2443,494,-9999999,451,34.13,N
500001,7.723,36,4003,647,1337,-9999999,34.13,N
500001,7.9976,52,2826,381,924,365,,N
500001,10.7397,46,3156,430,1109,423,34.12,N
251100,4.9167,16,3569,-9999999,1505,783,34.13,N
479700,5.1072,49,4438,803,1650,-9999999,34.13,N
215000,3.6389,34,824,224,430,213,34.13,
500001,11.706,52,2935,341,975,327,34.13,N
500001,10.6767,48,2476,313,900,303,34.12,N
500001,11.5609,52,2954,371,1152,347,34.12,N
500001,15.0001,52,2907,317,956,279,34.12,N
500001,,52,2787,353,1057,-9999999,34.11,N
500001,9.1373,52,2568,345,1102,345,34.11,N
500001,8.1124,52,2742,422,1153,414,34.11,N
500001,12.4237,44,1917,265,754,257,34.13,
500001,9.7912,44,1745,237,693,248,34.13,N
500001,7.8347,45,2966,415,1231,409,34.12,N
500001,6.3013,-9999999,3783,579,1601,539,34.12,N
500001,11.6471,50,1835,231,636,211,34.12,N
500001,15.0001,47,2234,276,749,260,34.13,
396700,5.9546,39,-9999999,128,413,139,34.13,N
325000,,41,1598,280,807,282,34.12,N
342700,5.4536,38,2638,432,-9999999,433,34.12,N
359900,5.6152,38,1713,285,779,286,34.12,
251200,3.301,27,3787,913,1992,853,34.13,N
228500,3.5671,28,4465,985,2273,949,34.13,N
279900,4.1136,30,2201,559,1194,531,34.12,N
272600,4.2312,43,1554,287,802,-9999999,34.12,N
264100,3.6827,34,2921,641,1541,562,34.12,N
270500,4.2434,27,1685,341,757,317,34.12,
270700,5.0736,41,2869,563,1627,533,34.11,N
225000,3.1576,47,832,194,419,156,34.11,N
257200,3.9464,42,2628,525,1494,523,34.11,N
285300,5.5924,42,1969,353,927,354,34.11,N
214600,3.0819,32,2830,645,1500,527,34.1,N
316800,4.6442,36,2966,527,1231,482,34.11,N
414800,6.5078,45,1883,275,764,289,34.11,N
280000,3.75,52,1788,313,792,294,34.1,N
351400,6.706,49,3367,523,1317,495,34.11,
352200,6.7099,50,2131,294,753,284,34.11,N
292900,5.2503,49,2812,478,1329,490,34.1,N
359600,5.2131,48,2124,319,785,319,34.11,N
282600,4.0556,49,2057,430,1103,414,34.1,N
306300,4.2344,34,2918,555,1435,568,34.1,N
197500,,19,-9999999,756,1396,703,34.1,N
188200,2.7816,21,3862,1186,2773,1102,34.09,N
214100,3.1103,26,3050,825,2153,772,34.1,N
208700,2.918,20,3447,1007,2622,934,34.09,N
351100,4.825,45,1780,289,755,328,34.11,N
252400,3.1975,24,4670,1185,2478,1107,34.1,N
258400,2.8919,52,4061,-9999999,2290,790,,N
444500,5.2292,52,3367,545,1427,535,34.11,N
419100,3.9485,52,4325,823,1927,795,34.1,N
469100,7.4111,52,-9999999,369,930,351,34.11,N
364800,,52,1746,330,704,306,34.11,N
352800,4.2981,52,1000,192,363,158,,N
-9999999,3.8427,36,6119,1513,2719,1402,34.12,N
350000,3.8529,43,1810,427,742,429,34.12,N
204500,3.4018,52,1518,344,725,296,34.12,N
500000,6.0199,49,1789,288,848,-9999999,34.12,N
435100,5.4165,38,2231,489,940,484,34.12,N
354700,4.2944,37,2246,481,995,459,34.12,N
309300,3.5875,39,2618,582,1314,532,34.11,N
-9999999,3.4559,39,3856,867,1847,830,34.1,N
-9999999,4.1661,31,5715,1154,2639,1079,34.11,N
263600,3.7235,48,1091,236,632,234,34.11,N
278900,3.6406,39,1758,436,892,447,34.11,N
381400,4.9676,26,4971,996,-9999999,932,34.11,N
477300,8.058,-9999999,4444,647,1922,652,34.1,N
231000,3.108,27,-9999999,1013,2411,933,34.1,N
192800,2.8062,27,1935,460,1456,382,34.09,N
225800,4.4306,52,2203,430,-9999999,403,34.09,N
224000,3.1204,52,1722,448,-9999999,425,34.09,N
229300,3.1211,-9999999,3514,818,2277,828,34.1,N
205600,3.125,44,1053,251,941,256,34.08,N
199200,3.3988,48,3697,816,2446,787,,N
218800,2.7483,28,4164,1127,2934,1014,34.09,N
219000,2.85,38,1745,457,1547,460,34.09,N
-9999999,2.7036,24,3988,1098,2909,1034,34.08,N
191700,2.3464,30,1433,397,1110,-9999999,34.08,N
217800,2.9405,24,2999,786,2937,796,34.08,N
220400,3.665,52,695,145,523,170,,N
226600,,44,2012,-9999999,1454,456,34.1,N
188400,3.2307,25,4870,1371,3518,1296,34.09,N
191700,3.0078,-9999999,700,212,662,210,34.09,N
219000,2.2214,42,2562,781,1936,687,34.09,N
228400,2.575,40,1931,449,1367,446,34.08,N
-9999999,2.7436,27,6010,1532,3620,1445,34.1,N
183100,2.6553,41,1379,315,1249,309,34.1,N
188500,2.3462,36,1068,246,949,250,34.09,N
258000,4.2833,44,2352,484,1517,-9999999,,
234600,3.81,29,1937,448,1352,433,34.1,N
192500,3.3801,20,3090,802,2109,738,34.1,
210900,2.34,34,2578,645,1628,617,34.1,N
259800,3.4375,34,2253,522,1262,511,34.1,N
212000,3.6083,33,2178,445,1153,400,34.09,N
187500,3.2361,28,676,177,543,185,34.1,N
214100,3.3512,32,4275,1061,2812,1012,34.1,N
213200,3.5313,36,2679,548,-9999999,-9999999,34.1,N
210400,3.6696,40,1904,393,1183,364,34.1,N
205200,3.9219,38,1889,407,1330,-9999999,34.08,N
211400,2.9688,43,1716,402,1343,386,34.08,N
224000,,40,855,208,745,222,34.09,N
235600,2.6901,34,1513,384,986,336,34.08,N
206000,3.0357,33,1430,344,1165,328,34.08,N
218300,3.1607,42,-9999999,236,769,231,34.08,N
227300,4.875,42,1460,289,829,273,34.09,N
208100,2.543,37,2894,659,1977,636,34.08,
204600,2.6884,24,4510,1296,3985,1240,34.08,N
238300,3.8906,46,2822,525,1434,520,34.09,N
243200,3.3966,42,3172,644,1829,-9999999,34.08,N
201000,3.3421,30,2350,472,945,467,34.08,N
244800,,45,1106,226,779,205,34.08,N
-9999999,5.2719,46,1130,229,698,209,34.07,N
208000,2.6981,25,3603,1003,2719,913,34.09,N
245700,5.3032,-9999999,1437,290,980,282,34.08,N
268200,3.1583,49,1782,-9999999,1010,367,34.08,N
227100,2.6716,34,3848,991,2814,972,34.08,N
253900,3.0,35,2248,615,-9999999,622,34.08,N
223000,2.5787,35,2517,662,1883,607,34.08,N
234900,3.2344,36,-9999999,-9999999,1565,563,34.08,N
220500,3.085,32,1880,428,1404,424,,N
212500,,45,1770,423,1410,-9999999,34.07,N
215600,2.025,43,1050,252,820,244,34.07,N
211800,2.2261,23,1190,347,965,327,34.06,N
183900,1.1875,17,1714,572,1590,568,34.06,N
192200,2.3664,20,2130,654,1870,578,34.07,N
181600,2.4599,17,5137,-9999999,4945,1535,34.06,N
202300,2.3393,19,3215,907,3072,870,34.07,N
192300,2.3224,18,2609,721,2221,703,34.06,N
235000,4.1902,42,1036,199,656,215,34.07,N
245700,3.7857,39,2390,444,1246,422,34.06,N
-9999999,4.7569,37,-9999999,258,706,238,34.06,
234400,3.2875,52,1983,344,887,331,34.07,N
220700,2.4348,44,1626,383,1063,334,34.07,N
241500,3.8644,47,2994,543,1651,561,,N
254600,3.6364,42,3836,777,2118,754,34.07,N
242700,3.125,40,1072,-9999999,-9999999,200,34.07,N
204300,,-9999999,3855,922,2517,874,,N
315100,6.1509,25,4284,-9999999,2163,701,34.06,
301100,5.828,27,1675,274,785,275,34.06,N
-9999999,3.4118,25,5478,1136,3062,1096,34.05,N
305800,3.5089,31,3362,799,1939,754,34.05,N
293300,3.8472,33,3287,649,1783,653,34.05,
198500,2.8672,30,1692,398,1130,365,34.06,N
237200,3.3906,27,5257,1082,3496,1036,34.06,N
268400,3.9531,35,3229,616,-9999999,-9999999,34.05,
236400,3.875,39,1880,367,954,349,34.05,N
197200,2.5321,-9999999,1729,438,1308,412,34.06,N
-9999999,2.4286,-9999999,1137,293,800,281,34.06,N
214700,3.1892,25,1526,388,1304,378,34.06,
214700,2.1061,32,1273,344,1148,368,34.06,N
-9999999,2.8229,16,2416,565,1750,514,34.06,
160300,2.9764,14,2628,668,2208,574,34.06,N
199300,2.5938,45,593,133,481,128,34.07,N
-9999999,3.2578,38,1036,226,1058,235,34.07,N
182100,2.5,21,1349,352,1188,330,34.08,N
176800,2.5964,29,1179,313,1255,308,34.07,N
186600,3.3088,39,1270,299,1073,278,34.07,N
170300,2.4931,36,1240,349,1383,338,34.07,N
185000,2.5104,36,3661,956,3816,931,34.07,N
170800,3.175,26,794,182,709,170,34.07,N
203700,2.25,33,3437,1081,3817,1042,34.07,N
183200,3.0347,45,726,146,568,160,34.07,N
188500,2.3424,-9999999,1054,-9999999,-9999999,258,34.07,N
179400,2.6094,30,1980,552,-9999999,511,34.06,N
171600,2.629,38,3230,840,3485,-9999999,34.06,N
185100,4.7222,20,5841,1146,-9999999,1131,34.04,N
185600,2.2083,31,1146,289,1163,258,34.06,N
178800,2.9524,31,2852,740,3100,725,34.06,N
179200,3.25,36,1463,369,1492,366,34.06,N
187500,2.5488,30,1547,436,1700,410,34.06,N
199000,3.5357,22,1764,357,1379,363,34.05,N
183300,3.756,31,3559,734,2975,715,34.05,N
152300,2.913,26,1495,328,1296,304,34.05,N
168500,3.6512,18,5580,1369,3842,1276,34.04,N
272600,6.4385,24,1543,257,824,271,34.04,N
266700,5.9941,23,3436,565,1729,529,34.05,N
